Date,Symbol,Buy Price,Sell Price,Qty,Profit
19 Jul 2025,ETHUSDT,3540.79,3540.79,0.0121,0
21 Jul 2025,ESUSDT,0.2504,0.2504,4.64,0
25 Jul 2025,ETHUSDT,3540.00,3718.35,0.0113,2.015355
8 Aug 2025,ETHUSDT,3529.00,3891.00,0.0122,4.4164
13 Aug 2025,OPUSDT,0.80,0.798,21.12,-0.04224
25 Sep 2025,0GUSDT,0.00,3.7115,0.79,2.932085
28 Sep 2025,XPLUSDT,0.00,1.45846,1.03,1.5022138
11 Oct 2025,ETHUSDT,3855.69,,0.0129,
8 Feb 2026,ETHUSDT,2110.21,,0.0189,
4 Feb 2026,ETHUSDT,2259.71,,0.0207,
